year,srcOrganization,srcOrganizationTypes,amountUSD
2009.0,Afghanistan,Government,136493.0
2009.0,Afghanistan ERF (until 2014),Pooled fund,3450250.0
2009.0,Agency for Technical Cooperation and Development,Other,3222751.0
2009.0,Australia,Government,5502612.0
2009.0,Austria,Government,680240.0
2009.0,Belgium,Government,6864459.0
2009.0,Bill and Melinda Gates Foundation,Foundation/private,1000607.0
2009.0,Brazil,Government,99399.0
2009.0,CARITAS,Other,336673.0
2009.0,CRS and Private Foundations,Other,590550.0
2009.0,Canada,Government,26637376.0
2009.0,Central Emergency Response Fund,Pooled fund,4165567.0
2009.0,Czech Republic,Government,354904.0
2009.0,Denmark,Government,21708392.0
2009.0,European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,53914703.0
2009.0,Finland,Government,6471485.0
2009.0,France,Government,8113869.0
2009.0,Germany,Government,38208076.0
2009.0,Greece,Government,711509.0
2009.0,India,Government,6402790.0
2009.0,Ireland,Government,4703373.0
2009.0,Italy,Government,8851775.0
2009.0,Japan,Government,89763865.0
2009.0,Kazakhstan,Government,169000.0
2009.0,Khalifa Bin Zayed Al Nahyan Foundation,Other,37328610.0
2009.0,Kyrgyzstan,Government,20291.0
2009.0,Luxembourg,Government,1441453.0
2009.0,Netherlands,Government,14813667.0
2009.0,Norway,Government,26408246.0
2009.0,Office for the Coordination of Humanitarian Affairs,UN agency,5510730.0
2009.0,Private (individuals & organizations),Foundation/private,676656.0
2009.0,Romania,Government,147928.0
2009.0,Russian Federation,Government,10000000.0
2009.0,Saudi Arabia (Kingdom of),Government,731259.0
2009.0,Slovakia,Government,42194.0
2009.0,Spain,Government,706970.0
2009.0,Sweden,Government,10616013.0
2009.0,Switzerland,Government,825007.0
2009.0,Turkey,Government,50000.0
2009.0,United Arab Emirates,Government,6687892.0
2009.0,United Kingdom,Government,10012154.0
2009.0,United Nations High Commissioner for Refugees,UN agency,36063952.0
2009.0,United States of America,Government,58894420.0
2009.0,World Food Programme,UN agency,339310232.0
2009.0,Association for Aid and Relief Japan,,0.0
2009.0,Australian Red Cross,,0.0
2009.0,Bahamas,,0.0
2009.0,British Red Cross,,0.0
2009.0,Croatia,,0.0
2009.0,Danish Red Cross,,0.0
2009.0,European Commission,,0.0
2009.0,Finnish Red Cross,,0.0
2009.0,Food & Agriculture Organization of the United Nations,,0.0
2009.0,Japanese Red Cross Society,,0.0
2009.0,Korea,,0.0
2009.0,Lithuania,,0.0
2009.0,Medico International,,0.0
2009.0,Mine Action Programme of Afghanistan,,0.0
2009.0,Poland,,0.0
2009.0,Swedish Red Cross,,0.0
2009.0,United Nations Children's Fund,,0.0
2009.0,United Nations Mine Action Service,,0.0
2009.0,World Health Organization,,0.0
2009.0,Estonia,,0.0
2009.0,Hungary,,0.0
2009.0,Iceland,,0.0
2009.0,New Zealand,,0.0
2009.0,Slovenia,,0.0
2009.0,UNICEF National Committee/Japan,,0.0
2009.0,UNICEF National Committee/Netherlands,,0.0
2009.0,UNICEF National Committee/United Kingdom,,0.0
2009.0,ACF - France Action Contre la Faim,,0.0
2009.0,Norwegian Refugee Council,,0.0
2009.0,Oman,,0.0
2009.0,Sheikh Thani Bin Abdullah Foundation for Humanitarian Services,,0.0
2009.0,Solidarités International,,0.0
2009.0,Swiss Solidarity,,0.0
2009.0,European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO),,0.0
2009.0,Qatar,,0.0
2009.0,Afghanistan Humanitarian Fund,,0.0
2009.0,United States Fund for UNICEF,,0.0
2009.0,Start Network,,0.0
2009.0,UN Agencies (Confidential),,0.0
2009.0,Malta,,0.0
2009.0,Qawafil for Relief and Development,,0.0
2009.0,Bosnia & Herzegovina,,0.0
2009.0,Bulgaria,,0.0
2009.0,China,,0.0
2009.0,Education Cannot Wait Fund,,0.0
2009.0,Mexico,,0.0
2009.0,United Nations Population Fund,,0.0
2009.0,Aktion Deutschland Hilft,,0.0
2009.0,Dutch Relief Alliance,,0.0
2009.0,Kuwait Red Crescent Society,,0.0
2009.0,Oxfam Australia,,0.0
2009.0,Qatar Charity,,0.0
2009.0,UNICEF National Committee/Canada,,0.0
2009.0,United Nations Development Programme,,0.0
2009.0,United Nations Foundation,,0.0
2009.0,War Child Canada,,0.0
2009.0,Caritas Germany (DCV),,0.0
2009.0,Danish Committee for Aid to Afghan Refugees,,0.0
2009.0,UNICEF National Committee/Denmark,,0.0
2009.0,ActionAid International,,0.0
2009.0,Asian Development Bank,,0.0
2009.0,COVID-19 Humanitarian Thematic Fund,,0.0
2009.0,Disaster Emergency Committee Coronavirus Appeal,,0.0
2009.0,Kuwait,,0.0
2009.0,Oxfam,,0.0
2009.0,PATRIP Foundation,,0.0
2009.0,UNDP Administered Trust Fund,,0.0
2009.0,UNICEF National Committee/New Zealand,,0.0
2009.0,United Nations Office for Project Services,,0.0
2009.0,World Bank,,0.0
2009.0,Cyprus,,0.0
2009.0,Faeroe Islands,,0.0
2009.0,GAVI Alliance,,0.0
2009.0,Jersey Overseas Aid,,0.0
2009.0,Multi-donor flexible humanitarian contribution (UNICEF Global Humanitarian Thematic),,0.0
2009.0,Oxfam International,,0.0
2009.0,Portugal,,0.0
2009.0,Save the Children,,0.0
2009.0,Special Trust Fund for Afghanistan,,0.0
2009.0,Thailand,,0.0
2009.0,UN Multi-Partner Trust Fund,,0.0
2009.0,World Vision International,,0.0
2009.0,Disasters Emergency Committee (UK),,0.0
2009.0,Guyana,,0.0
2009.0,Malaysia,,0.0
2009.0,Philippines,,0.0
2009.0,Red Crescent Society of the United Arab Emirates,,0.0
2009.0,UNICEF National Committee/Australia,,0.0
2009.0,UNICEF National Committee/Austria,,0.0
2009.0,UNICEF National Committee/Czech Republic,,0.0
2009.0,UNICEF National Committee/Germany,,0.0
2009.0,UNICEF National Committee/Iceland,,0.0
2009.0,UNICEF National Committee/Italy,,0.0
2009.0,UNICEF National Committee/Korea (Republic of),,0.0
2009.0,UNICEF National Committee/Luxembourg,,0.0
2009.0,UNICEF National Committee/Poland,,0.0
2009.0,UNICEF National Committee/Portugal,,0.0
2009.0,UNICEF National Committee/Sweden,,0.0
2009.0,UNICEF National Committees,,0.0
2009.0,Unitaid,,0.0
2009.0,United States Fund For UNICEF,,0.0
2010.0,Afghanistan,Government,2379910.0
2010.0,Afghanistan ERF (until 2014),Pooled fund,9610387.0
2010.0,Agency for Technical Cooperation and Development,Other,3222751.0
2010.0,Australia,Government,21450543.0
2010.0,Austria,Government,1601330.0
2010.0,Belgium,Government,7665373.0
2010.0,Bill and Melinda Gates Foundation,,0.0
2010.0,Brazil,,0.0
2010.0,CARITAS,,0.0
2010.0,CRS and Private Foundations,,0.0
2010.0,Canada,Government,32627467.0
2010.0,Central Emergency Response Fund,Pooled fund,11019952.0
2010.0,Czech Republic,Government,273225.0
2010.0,Denmark,Government,13588731.0
2010.0,European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,51026400.0
2010.0,Finland,Government,4517512.0
2010.0,France,Government,4671286.0
2010.0,Germany,Government,32679718.0
2010.0,Greece,,0.0
2010.0,India,Government,3949407.0
2010.0,Ireland,Government,6837585.0
2010.0,Italy,Government,10142944.0
2010.0,Japan,Government,157965444.0
2010.0,Kazakhstan,Government,7340000.0
2010.0,Khalifa Bin Zayed Al Nahyan Foundation,,0.0
2010.0,Kyrgyzstan,,0.0
2010.0,Luxembourg,Government,2395220.0
2010.0,Netherlands,Government,16138510.0
2010.0,Norway,Government,21937869.0
2010.0,Office for the Coordination of Humanitarian Affairs,UN agency,7184100.0
2010.0,Private (individuals & organizations),Foundation/private,233725.0
2010.0,Romania,Government,75301.0
2010.0,Russian Federation,Government,5200000.0
2010.0,Saudi Arabia (Kingdom of),,0.0
2010.0,Slovakia,,0.0
2010.0,Spain,Government,1045305.0
2010.0,Sweden,Government,12274721.0
2010.0,Switzerland,Government,475559.0
2010.0,Turkey,,0.0
2010.0,United Arab Emirates,Government,2814120.0
2010.0,United Kingdom,Government,3512709.0
2010.0,United Nations High Commissioner for Refugees,UN agency,38401127.0
2010.0,United States of America,Government,156386168.0
2010.0,World Food Programme,UN agency,224770409.0
2010.0,Association for Aid and Relief Japan,Other,110000.0
2010.0,Australian Red Cross,Other,36701.0
2010.0,Bahamas,Government,6900000.0
2010.0,British Red Cross,Other,65226.0
2010.0,Croatia,Government,75000.0
2010.0,Danish Red Cross,Other,65602.0
2010.0,European Commission,Inter-governmental,2449756.0
2010.0,Finnish Red Cross,Other,31924.0
2010.0,Food & Agriculture Organization of the United Nations,Other,365601.0
2010.0,Japanese Red Cross Society,Other,110018.0
2010.0,Korea,Government,217600.0
2010.0,Lithuania,Government,42052.0
2010.0,Medico International,Other,23000.0
2010.0,Mine Action Programme of Afghanistan,Other,25471.0
2010.0,Poland,Government,990838.0
2010.0,Swedish Red Cross,Other,16388.0
2010.0,United Nations Children's Fund,UN agency,3054193.0
2010.0,United Nations Mine Action Service,UN agency,453954.0
2010.0,World Health Organization,Other,92115.0
2010.0,Estonia,,0.0
2010.0,Hungary,,0.0
2010.0,Iceland,,0.0
2010.0,New Zealand,,0.0
2010.0,Slovenia,,0.0
2010.0,UNICEF National Committee/Japan,,0.0
2010.0,UNICEF National Committee/Netherlands,,0.0
2010.0,UNICEF National Committee/United Kingdom,,0.0
2010.0,ACF - France Action Contre la Faim,,0.0
2010.0,Norwegian Refugee Council,,0.0
2010.0,Oman,,0.0
2010.0,Sheikh Thani Bin Abdullah Foundation for Humanitarian Services,,0.0
2010.0,Solidarités International,,0.0
2010.0,Swiss Solidarity,,0.0
2010.0,European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO),,0.0
2010.0,Qatar,,0.0
2010.0,Afghanistan Humanitarian Fund,,0.0
2010.0,United States Fund for UNICEF,,0.0
2010.0,Start Network,,0.0
2010.0,UN Agencies (Confidential),,0.0
2010.0,Malta,,0.0
2010.0,Qawafil for Relief and Development,,0.0
2010.0,Bosnia & Herzegovina,,0.0
2010.0,Bulgaria,,0.0
2010.0,China,,0.0
2010.0,Education Cannot Wait Fund,,0.0
2010.0,Mexico,,0.0
2010.0,United Nations Population Fund,,0.0
2010.0,Aktion Deutschland Hilft,,0.0
2010.0,Dutch Relief Alliance,,0.0
2010.0,Kuwait Red Crescent Society,,0.0
2010.0,Oxfam Australia,,0.0
2010.0,Qatar Charity,,0.0
2010.0,UNICEF National Committee/Canada,,0.0
2010.0,United Nations Development Programme,,0.0
2010.0,United Nations Foundation,,0.0
2010.0,War Child Canada,,0.0
2010.0,Caritas Germany (DCV),,0.0
2010.0,Danish Committee for Aid to Afghan Refugees,,0.0
2010.0,UNICEF National Committee/Denmark,,0.0
2010.0,ActionAid International,,0.0
2010.0,Asian Development Bank,,0.0
2010.0,COVID-19 Humanitarian Thematic Fund,,0.0
2010.0,Disaster Emergency Committee Coronavirus Appeal,,0.0
2010.0,Kuwait,,0.0
2010.0,Oxfam,,0.0
2010.0,PATRIP Foundation,,0.0
2010.0,UNDP Administered Trust Fund,,0.0
2010.0,UNICEF National Committee/New Zealand,,0.0
2010.0,United Nations Office for Project Services,,0.0
2010.0,World Bank,,0.0
2010.0,Cyprus,,0.0
2010.0,Faeroe Islands,,0.0
2010.0,GAVI Alliance,,0.0
2010.0,Jersey Overseas Aid,,0.0
2010.0,Multi-donor flexible humanitarian contribution (UNICEF Global Humanitarian Thematic),,0.0
2010.0,Oxfam International,,0.0
2010.0,Portugal,,0.0
2010.0,Save the Children,,0.0
2010.0,Special Trust Fund for Afghanistan,,0.0
2010.0,Thailand,,0.0
2010.0,UN Multi-Partner Trust Fund,,0.0
2010.0,World Vision International,,0.0
2010.0,Disasters Emergency Committee (UK),,0.0
2010.0,Guyana,,0.0
2010.0,Malaysia,,0.0
2010.0,Philippines,,0.0
2010.0,Red Crescent Society of the United Arab Emirates,,0.0
2010.0,UNICEF National Committee/Australia,,0.0
2010.0,UNICEF National Committee/Austria,,0.0
2010.0,UNICEF National Committee/Czech Republic,,0.0
2010.0,UNICEF National Committee/Germany,,0.0
2010.0,UNICEF National Committee/Iceland,,0.0
2010.0,UNICEF National Committee/Italy,,0.0
2010.0,UNICEF National Committee/Korea (Republic of),,0.0
2010.0,UNICEF National Committee/Luxembourg,,0.0
2010.0,UNICEF National Committee/Poland,,0.0
2010.0,UNICEF National Committee/Portugal,,0.0
2010.0,UNICEF National Committee/Sweden,,0.0
2010.0,UNICEF National Committees,,0.0
2010.0,Unitaid,,0.0
2010.0,United States Fund For UNICEF,,0.0
2011.0,Afghanistan,Government,3360.0
2011.0,Afghanistan ERF (until 2014),Pooled fund,8835339.0
2011.0,Agency for Technical Cooperation and Development,,0.0
2011.0,Australia,Government,11939064.0
2011.0,Austria,,0.0
2011.0,Belgium,Government,10190987.0
2011.0,Bill and Melinda Gates Foundation,,0.0
2011.0,Brazil,,0.0
2011.0,CARITAS,,0.0
2011.0,CRS and Private Foundations,,0.0
2011.0,Canada,Government,46893478.0
2011.0,Central Emergency Response Fund,,0.0
2011.0,Czech Republic,Government,163488.0
2011.0,Denmark,Government,13344029.0
2011.0,European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,51676745.0
2011.0,Finland,Government,6395059.0
2011.0,France,Government,3822943.0
2011.0,Germany,Government,17763067.0
2011.0,Greece,,0.0
2011.0,India,Government,14358552.0
2011.0,Ireland,Government,5593264.0
2011.0,Italy,Government,8008268.0
2011.0,Japan,Government,145776135.0
2011.0,Kazakhstan,Government,5670000.0
2011.0,Khalifa Bin Zayed Al Nahyan Foundation,,0.0
2011.0,Kyrgyzstan,,0.0
2011.0,Luxembourg,Government,1940798.0
2011.0,Netherlands,Government,7500000.0
2011.0,Norway,Government,19389303.0
2011.0,Office for the Coordination of Humanitarian Affairs,UN agency,3640472.0
2011.0,Private (individuals & organizations),Foundation/private,955007.0
2011.0,Romania,Government,66667.0
2011.0,Russian Federation,,0.0
2011.0,Saudi Arabia (Kingdom of),Government,5903003.0
2011.0,Slovakia,,0.0
2011.0,Spain,Government,2747253.0
2011.0,Sweden,Government,19532198.0
2011.0,Switzerland,Government,3893839.0
2011.0,Turkey,,0.0
2011.0,United Arab Emirates,Government,10329431.0
2011.0,United Kingdom,Government,27296125.0
2011.0,United Nations High Commissioner for Refugees,,0.0
2011.0,United States of America,Government,339533795.0
2011.0,World Food Programme,UN agency,101606115.0
2011.0,Association for Aid and Relief Japan,,0.0
2011.0,Australian Red Cross,,0.0
2011.0,Bahamas,,0.0
2011.0,British Red Cross,,0.0
2011.0,Croatia,,0.0
2011.0,Danish Red Cross,,0.0
2011.0,European Commission,,0.0
2011.0,Finnish Red Cross,,0.0
2011.0,Food & Agriculture Organization of the United Nations,,0.0
2011.0,Japanese Red Cross Society,,0.0
2011.0,Korea,,0.0
2011.0,Lithuania,,0.0
2011.0,Medico International,,0.0
2011.0,Mine Action Programme of Afghanistan,,0.0
2011.0,Poland,Government,482648.0
2011.0,Swedish Red Cross,,0.0
2011.0,United Nations Children's Fund,UN agency,206455.0
2011.0,United Nations Mine Action Service,,0.0
2011.0,World Health Organization,,0.0
2011.0,Estonia,Government,66667.0
2011.0,Hungary,Government,385.0
2011.0,Iceland,Government,100000.0
2011.0,New Zealand,Government,773994.0
2011.0,Slovenia,Government,250533.0
2011.0,UNICEF National Committee/Japan,Foundation/private,187149.0
2011.0,UNICEF National Committee/Netherlands,Foundation/private,569803.0
2011.0,UNICEF National Committee/United Kingdom,UN agency,19306.0
2011.0,ACF - France Action Contre la Faim,,0.0
2011.0,Norwegian Refugee Council,,0.0
2011.0,Oman,,0.0
2011.0,Sheikh Thani Bin Abdullah Foundation for Humanitarian Services,,0.0
2011.0,Solidarités International,,0.0
2011.0,Swiss Solidarity,,0.0
2011.0,European Commission Directorate-General for International Partnerships (formerly EuropeAid DEVCO),,0.0
2011.0,Qatar,,0.0
2011.0,Afghanistan Humanitarian Fund,,0.0
2011.0,United States Fund for UNICEF,,0.0
2011.0,Start Network,,0.0
2011.0,UN Agencies (Confidential),,0.0
2011.0,Malta,,0.0
2011.0,Qawafil for Relief and Development,,0.0
2011.0,Bosnia & Herzegovina,,0.0
2011.0,Bulgaria,,0.0
2011.0,China,,0.0
2011.0,Education Cannot Wait Fund,,0.0
2011.0,Mexico,,0.0
2011.0,United Nations Population Fund,,0.0
2011.0,Aktion Deutschland Hilft,,0.0
2011.0,Dutch Relief Alliance,,0.0
2011.0,Kuwait Red Crescent Society,,0.0
2011.0,Oxfam Australia,,0.0
2011.0,Qatar Charity,,0.0
2011.0,UNICEF National Committee/Canada,,0.0
2011.0,United Nations Development Programme,,0.0
2011.0,United Nations Foundation,,0.0
2011.0,War Child Canada,,0.0
2011.0,Caritas Germany (DCV),,0.0
2011.0,Danish Committee for Aid to Afghan Refugees,,0.0
2011.0,UNICEF National Committee/Denmark,,0.0
2011.0,ActionAid International,,0.0
2011.0,Asian Development Bank,,0.0
2011.0,COVID-19 Humanitarian Thematic Fund,,0.0
2011.0,Disaster Emergency Committee Coronavirus Appeal,,0.0
2011.0,Kuwait,,0.0
2011.0,Oxfam,,0.0
2011.0,PATRIP Foundation,,0.0
2011.0,UNDP Administered Trust Fund,,0.0
2011.0,UNICEF National Committee/New Zealand,,0.0
2011.0,United Nations Office for Project Services,,0.0
2011.0,World Bank,,0.0
2011.0,Cyprus,,0.0
2011.0,Faeroe Islands,,0.0
2011.0,GAVI Alliance,,0.0
2011.0,Jersey Overseas Aid,,0.0
2011.0,Multi-donor flexible humanitarian contribution (UNICEF Global Humanitarian Thematic),,0.0
2011.0,Oxfam International,,0.0
2011.0,Portugal,,0.0
2011.0,Save the Children,,0.0
2011.0,Special Trust Fund for Afghanistan,,0.0
2011.0,Thailand,,0.0
2011.0,UN Multi-Partner Trust Fund,,0.0
2011.0,World Vision International,,0.0
2011.0,Disasters Emergency Committee (UK),,0.0
2011.0,Guyana,,0.0
2011.0,Malaysia,,0.0
2011.0,Philippines,,0.0
2011.0,Red Crescent Society of the United Arab Emirates,,0.0
2011.0,UNICEF National Committee/Australia,,0.0
2011.0,UNICEF National Committee/Austria,,0.0
2011.0,UNICEF National Committee/Czech Republic,,0.0
2011.0,UNICEF National Committee/Germany,,0.0
2011.0,UNICEF National Committee/Iceland,,0.0
2011.0,UNICEF National Committee/Italy,,0.0
2011.0,UNICEF National Committee/Korea (Republic of),,0.0
2011.0,UNICEF National Committee/Luxembourg,,0.0
2011.0,UNICEF National Committee/Poland,,0.0
2011.0,UNICEF National Committee/Portugal,,0.0
2011.0,UNICEF National Committee/Sweden,,0.0
2011.0,UNICEF National Committees,,0.0
2011.0,Unitaid,,0.0
2011.0,United States Fund For UNICEF,,0.0
2012.0,Afghanistan,Government,3000.0
2012.0,Afghanistan ERF (until 2014),Pooled fund,12283382.0
2012.0,Agency for Technical Cooperation and Development,,0.0
2012.0,Australia,Government,21428550.0
2012.0,Austria,Government,226240.0
2012.0,Belgium,Government,10695528.0
2012.0,Bill and Melinda Gates Foundation,,0.0
2012.0,Brazil,,0.0
2012.0,CARITAS,,0.0
2012.0,CRS and Private Foundations,,0.0
2012.0,Canada,Government,7067143.0
2012.0,Central Emergency Response Fund,Pooled fund,9538256.0
2012.0,Czech Republic,Government,257622.0
2012.0,Denmark,Government,19609232.0
2012.0,European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,35490082.0
2012.0,Finland,Government,4992275.0
2012.0,France,Government,2424929.0
2012.0,Germany,Government,34861491.0
2012.0,Greece,,0.0
2012.0,India,,0.0
2012.0,Ireland,Government,5615852.0
2012.0,Italy,Government,8651316.0
2012.0,Japan,Government,108102999.0
2012.0,Kazakhstan,,0.0
2012.0,Khalifa Bin Zayed Al Nahyan Foundation,,0.0
2012.0,Kyrgyzstan,,0.0
2012.0,Luxembourg,Government,1100689.0
2012.0,Netherlands,Government,5714285.0
2012.0,Norway,Government,27555354.0
2012.0,Office for the Coordination of Humanitarian Affairs,UN agency,58242.0
2012.0,Private (individuals & organizations),Foundation/private,940527.0
2012.0,Romania,,0.0
2012.0,Russian Federation,Government,2732737.0
2012.0,Saudi Arabia (Kingdom of),Government,872058.0
2012.0,Slovakia,,0.0
2012.0,Spain,,0.0
2012.0,Sweden,Government,14421036.0
2012.0,Switzerland,Government,4080523.0
2012.0,Turkey,,0.0
2012.0,United Arab Emirates,,0.0
2012.0,United Kingdom,Government,26074159.0
2012.0,United Nations High Commissioner for Refugees,,0.0
2012.0,United States of America,Government,143231760.0
2012.0,World Food Programme,UN agency,31012095.0
2012.0,Association for Aid and Relief Japan,,0.0
2012.0,Australian Red Cross,,0.0
2012.0,Bahamas,,0.0
2012.0,British Red Cross,,0.0
2012.0,Croatia,Government,40000.0
2012.0,Danish Red Cross,,0.0
2012.0,European Commission,Inter-governmental,1349934.0
2012.0,Finnish Red Cross,,0.0
2012.0,Food & Agriculture Organization of the United Nations,Other,458000.0
2012.0,Japanese Red Cross Society,,0.0
2012.0,Korea,,0.0
2012.0,Lithuania,,0.0
2012.0,Medico International,,0.0
2012.0,Mine Action Programme of Afghanistan,,0.0
2012.0,Poland,Government,876394.0
2012.0,Swedish Red Cross,,0.0
2012.0,United Nations Children's Fund,,0.0
2012.0,United Nations Mine Action Service,,0.0
2012.0,World Health Organization,,0.0
2012.0,Estonia,Government,122589.0
2012.0,Hungary,Government,20000.0
2012.0,Iceland,,0.0
2012.0,New Zealand,,0.0
2012.0,Slovenia,,0.0
2012.0,UNICEF National Committee/Japan,Foundation/private,72245.0
2012.0,UNICEF National Committee/Netherlands,,0.0
2012.0,UNICEF National Committee/United Kingdom,,0.0
2012.0,ACF - France Action Contre la Faim,Other,1094328.0
2012.0,Norwegian Refugee Council,Other,211538.0
